"Gene","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000145050","MANF",1.5176779837629,5.45811216674043,4.61132396358532,0.00149467347983217,0.0290664794110936,-0.919574266503884
"ENSG00000106366","SERPINE1",2.37834713715168,2.47064875203038,4.60580777013898,0.00150592871645364,0.0292395267371522,-0.927251204320879
"ENSG00000240583","AQP1",-1.657569864634,3.14564099755594,-4.60447377630646,0.00150866430919203,0.0292468720064774,-0.929108431980747
"ENSG00000183520","UTP11",1.00012550208253,2.86702367282936,4.60108251599426,0.00151564286972456,0.029336319944887,-0.933831070120272
"ENSG00000241244","IGKV1D-16",-2.00377085961213,1.83247695308488,-4.59397604999893,0.00153037985086208,0.0294835757913756,-0.943733148254848
"ENSG00000026508","CD44",1.39714427613698,3.70312571104424,4.5857865130143,0.001547554854822,0.0297530018897971,-0.955153896338151
"ENSG00000143167","GPA33",-2.58402551357573,5.65018354802139,-4.58396981694423,0.00155139292267942,0.0297530018897971,-0.957688758545729
"ENSG00000178462","TUBAL3",-2.00684776777455,2.71454575119493,-4.58345240356681,0.00155248792116635,0.0297530018897971,-0.958410804687269
"ENSG00000116161","CACYBP",1.29901652443007,3.64558228560102,4.57655106150323,0.00156717318713045,0.0298628484398584,-0.968045461807741
"ENSG00000149257","SERPINH1",1.41992828236018,4.59758574886042,4.57458467863483,0.00157138480526942,0.0298628484398584,-0.970791966268576
"ENSG00000101445","PPP1R16B",-1.15281923365988,1.12386187547144,-4.57438890900975,0.00157180477437087,0.0298628484398584,-0.971065435576211
"ENSG00000104738","MCM4",1.20651427943995,3.16316812754535,4.57340179345689,0.00157392420050569,0.0298628484398584,-0.972444419499128
"ENSG00000259823","LYPD8",-4.49867236852477,5.32135132063456,-4.57311311237748,0.00157454460727385,0.0298628484398584,-0.972847730107163
"ENSG00000100448","CTSG",-2.92862384380433,2.73851498487483,-4.57098386290273,0.00157912875044107,0.0298628484398584,-0.975822853200484
"ENSG00000101938","CHRDL1",-2.26875197956114,1.49981336315825,-4.56997104396646,0.0015813143380699,0.0298628484398584,-0.977238269979018
"ENSG00000180875","GREM2",-1.7416715028071,1.49700886960589,-4.56995147101731,0.0015813566071562,0.0298628484398584,-0.977265624754127
"ENSG00000242534","IGKV2D-28",-2.99111748770099,3.54277935096581,-4.56506734821746,0.00159194238775619,0.0299460958241991,-0.984093398040477
"ENSG00000187867","PALM3",1.87631546130139,1.68710600326569,4.56452731358318,0.00159311753580419,0.0299460958241991,-0.984848563264873
"ENSG00000075218","GTSE1",1.13687443921624,1.76665095178296,4.56225140518402,0.00159808034044315,0.0299460958241991,-0.988031598820319
"ENSG00000253701",NA,-4.4355913009789,3.39902333675682,-4.56129049851149,0.00160018067995145,0.0299460958241991,-0.989375737740469
"ENSG00000205358","MT1H",-3.8702668016727,3.58947139198193,-4.56126028965444,0.001600246758398,0.0299460958241991,-0.989417996873188
"ENSG00000145386","CCNA2",1.10385344488304,2.45995935803968,4.55718060041117,0.00160919770832152,0.0300682469384714,-0.995126340619951
"ENSG00000006704","GTF2IRD1",1.4076139098179,2.25722930702155,4.55525111858416,0.00161344983830558,0.0301023641261012,-0.997826970807467
"ENSG00000169908","TM4SF1",1.72790405753224,4.48507976362547,4.55367207197993,0.00161693870624105,0.0301146122113272,-1.00003752865422
"ENSG00000080986","NDC80",1.24404964819955,1.89320242615569,4.55206384930893,0.00162050040198933,0.0301146122113272,-1.00228931947987
"ENSG00000136897","MRPL50",1.07925609442615,2.72688177570329,4.55111335184027,0.00162260942507989,0.0301146122113272,-1.00362036517412
"ENSG00000103196","CRISPLD2",-1.16483568764701,2.53965683520735,-4.55057051599544,0.00162381523086789,0.0301146122113272,-1.00438059622948
"ENSG00000163132","MSX1",1.47105741717045,1.36154332037806,4.54878957417596,0.00162777804189212,0.0301430480085903,-1.00687508418269
"ENSG00000123395","ATG101",1.13905243245229,2.92809817076524,4.54547943149157,0.00163517124108764,0.0302035267683495,-1.01151273392625
"ENSG00000025772","TOMM34",1.60877603382608,4.05275869022901,4.5433855582372,0.00163986659421356,0.0302035267683495,-1.01444719568367
"ENSG00000156284","CLDN8",-2.70585539365491,1.57890422322387,-4.54297827750776,0.0016407815782919,0.0302035267683495,-1.01501805698691
"ENSG00000100749","VRK1",1.20150706702323,2.60722026869539,4.53689551206465,0.00165451262736381,0.0304111676558561,-1.02354689743584
"ENSG00000196611","MMP1",3.10426794406481,2.65211515882747,4.53430684854229,0.00166039373293982,0.0304741198884384,-1.02717824402839
"ENSG00000137168","PPIL1",1.46291476185268,3.26750722869614,4.53311301580129,0.00166311355501864,0.030478951074027,-1.02885328004362
"ENSG00000111863","ADTRP",-2.7375160358645,2.78587957980893,-4.53011335976293,0.00166996867066441,0.0305279171394714,-1.03306297150776
"ENSG00000143977","SNRPG",1.446321711651,5.24994887668443,4.52936074686209,0.0016716933931737,0.0305279171394714,-1.03411939548751
"ENSG00000179144","GIMAP7",-1.55213044104824,2.44503503147667,-4.52871835141597,0.00167316705527851,0.0305279171394714,-1.03502117771557
"ENSG00000080824","HSP90AA1",1.67683405072088,6.88670128118742,4.52758917170392,0.00167576080105291,0.0305303439921637,-1.03660644943205
"ENSG00000172794","RAB37",-1.03463058441653,1.14857734471216,-4.52545995297839,0.00168066345371332,0.0305747675516438,-1.03959621471242
"ENSG00000211642","IGLV10-54",-2.75143708262653,2.39921148734704,-4.52262065600759,0.00168722517320581,0.0306491987173711,-1.04358410989986
"ENSG00000181163","NPM1",1.52190809542807,6.63774555285267,4.5185450265788,0.00169669241591982,0.0306959695952264,-1.04931060747583
"ENSG00000211890","IGHA2",-5.87109129659431,11.4125539188615,-4.51804887255541,0.00169784883129012,0.0306959695952264,-1.05000790416972
"ENSG00000241127","YAE1",1.14863930694874,2.45878106995914,4.51732368016567,0.00169954060836652,0.0306959695952264,-1.05102715909893
"ENSG00000225698","IGHV3-72",-2.87034015715625,2.81195270180274,-4.51619798132037,0.00170217031365485,0.0306959695952264,-1.05260948150155
"ENSG00000115648","MLPH",1.3746609199925,3.47295086572121,4.51398145482619,0.0017073610904555,0.0307362725137928,-1.05572566928672
"ENSG00000120885","CLU",-2.61182606463377,4.04241571800845,-4.51312988269822,0.00170935988027058,0.0307362725137928,-1.05692308141982
"ENSG00000129195","PIMREG",1.33989588616463,1.85113657694561,4.5078021572916,0.00172192237351174,0.0309041386946194,-1.0644169835323
"ENSG00000108821","COL1A1",1.98904211437952,6.59736503868669,4.50405682935097,0.00173081319735537,0.0309041386946194,-1.06968767086215
"ENSG00000239467",NA,1.1102299403478,1.06550419945617,4.50167786054394,0.0017364861791117,0.0309041386946194,-1.07303662039682
"ENSG00000177455","CD19",-1.25556116121389,1.13036974412471,-4.50109620650278,0.00173787626011778,0.0309041386946194,-1.073855562945
"ENSG00000104312","RIPK2",1.26734348838775,2.1412495255892,4.5005831639928,0.00173910336333242,0.0309041386946194,-1.07457794588533
"ENSG00000170231","FABP6",3.46814484066305,2.388270522248,4.49932998989364,0.00174210465218306,0.0309041386946194,-1.07634262840931
"ENSG00000159423","ALDH4A1",1.63957422037724,2.43579717510104,4.49907179878749,0.00174272369997696,0.0309041386946194,-1.07670623485164
"ENSG00000114455","HHLA2",-2.46048993780497,3.71023505893126,-4.49870473944123,0.00174360418201286,0.0309041386946194,-1.07722317600074
